N,strategy_id,family_label,candidate_source,u2_range,peeq_max,surface_t_proxy,mises_max,u2_norm_within_N,peeq_norm_within_N,surface_t_norm_within_N,mises_norm_within_N,u2_rank_within_N,peeq_rank_within_N,surface_t_rank_within_N,mises_rank_within_N,U2_gate_status,PEEQ_gate_status,U2_PEEQ_gate_status,hierarchy_region,constrained_reward_if_available,source_file
N24,N24_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,,0.0003735758580205,0.1622905135154724,583235840.0,579944640.0,0.5762294232339411,0.32657008211411603,0.21147019183895852,0.8787878787878788,169,149,130,165,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.1674603174603175,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,,0.0004410466524404,0.1661432981491089,583990144.0,579944128.0,0.689231436897046,0.4228082275656433,0.27906403234594096,0.6363636363636364,174,170,153,92,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.1484126984126984,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A01_raster_left_to_right,raster,,0.0015270577277988,0.200013056397438,585953088.0,579928512.0,0.729372842779478,0.9901657307723526,0.2775585198250836,0.7865168539325843,194,204,168,199,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.0629268292682927,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A02_odd_even_interlaced,odd_even,,0.0001595688736415,0.1578081995248794,587307392.0,579927744.0,0.05602933552178192,0.24375531678274465,0.3553191489361702,0.651685393258427,111,108,178,185,U2_safe_analysis_gate,PEEQ_safe_analysis_gate,combined_safe_analysis_gate,admissible_secondary_SurfaceT_ranking_region,0.3812195121951219,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A03_greedy_maximin_distance,maximin,,0.0006838651936504,0.1606565862894058,585288896.0,579926656.0,0.31418977455120856,0.29413021914368653,0.2394223349134605,0.4606741573033708,160,137,160,95,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.2839024390243902,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A04_method_c_u2_first_engineering,method_c,,0.0001108189990191,0.153950959444046,582221504.0,579926528.0,0.032025182612727264,0.17553842472489856,0.06330062837614375,0.43820224719101125,86,69,69,66,U2_safe_analysis_gate,PEEQ_safe_analysis_gate,combined_safe_analysis_gate,admissible_secondary_SurfaceT_ranking_region,0.622439024390244,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A05_center_out,center_out,,0.0018341616960242,0.1796219497919082,588607232.0,579925632.0,0.8805890391155548,0.6295405456402647,0.4299525961856466,0.2808988764044944,203,198,190,18,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.1195121951219512,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A06_edge_in_alternating,edge_in,,0.0016398808220401,0.2005691230297088,595556480.0,579926400.0,0.7849262739794108,1.0,0.8289604233270863,0.4157303370786517,197,206,203,56,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.0970731707317073,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A07_regular_jump_coprime,regular_jump,,0.0020766726229339,0.1631038337945938,595582528.0,579924032.0,1.0,0.33741080718117616,0.8304560320435086,0.0,206,161,204,1,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.1563414634146341,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N40,N40_A08_block_interleaved_quarters,block_interleaved,,0.0020561176352202,0.1575537621974945,594139136.0,579924416.0,0.9898788443673928,0.23925548702520671,0.7475802006394003,0.06741573033707865,205,104,202,4,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.2280487804878049,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
