dataset_scope,source_stage,N,metric,value,display_value,display_unit,claim_role
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332786346666664,1.9332786346666664,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00012088658999999999,0.00012088658999999999,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1432070937752723,0.1432070937752723,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0077948559985172999,0.0077948559985172999,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332779946666665,1.9332779946666665,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.000103277445,0.000103277445,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1458583253622055,0.1458583253622055,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0028153742206509002,0.0028153742206509002,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933277696,1.933277696,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00015298522999999999,0.00015298522999999999,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1448470882326364,0.1448470882326364,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0079242212283288996,0.0079242212283288996,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332785706666664,1.9332785706666664,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,4.7092336999999998e-05,4.7092336999999998e-05,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1455592040717601,0.1455592040717601,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0023838541073802999,0.0023838541073802999,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332782933333328,1.9332782933333328,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,6.3190389999999997e-05,6.3190389999999997e-05,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.14635210506618021,0.14635210506618021,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0028189535706706001,0.0028189535706706001,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332780373333336,1.9332780373333336,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00017254293,0.00017254293,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1453176195919513,0.1453176195919513,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0078570096739342,0.0078570096739342,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332784426666665,1.9332784426666665,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00015107917999999999,0.00015107917999999999,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.14520536676049231,0.14520536676049231,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0093052861866525002,0.0093052861866525002,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332784213333327,1.9332784213333327,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00015975624000000001,0.00015975624000000001,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.14501039922237391,0.14501039922237391,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.0081336136987729991,0.0081336136987729991,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.933278528,1.933278528,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,0.00012366119999999999,0.00012366119999999999,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,0.1450170534849167,0.1450170534849167,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,0.018093346547326701,0.018093346547326701,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,1.9332802773333333,1.9332802773333333,legacy_aux_raw,auxiliary_fixed_N32_context
