n,strategy_name,strategy_family,candidate_group,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,is_raster_like,is_center_out_like,is_edge_in_like,is_odd_even_like,is_regular_jump_like,is_block_interleaved_like
24,N24_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,proxy_fallback_policy,9,13,11.5,0.391304347826087,0.5652173913043478,12.347826086956522,12,23,1,6.410648041936192,284,0.5368620037807184,1.0,1,13,4.436605434317882,0.5217391304347826,0.30434782608695654,0.3913043478260869,0,6,12,0.5217391304347826,0.0,22,0.2152777777777778,0.5833333333333334,False,False,False,False,False,False
24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,1,0,11.5,0.043478260869565216,0.0,11.521739130434783,11,23,1,6.6520318257061835,265,0.500945179584121,1.0,2,11,3.567040216926579,0.5217391304347826,0.7391304347826088,0.8260869565217391,6,0,23,1.0,0.045454545454545456,21,0.25,0.9166666666666666,False,False,False,True,False,False
24,N24_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,proxy_fallback_policy,0,23,11.5,0.0,1.0,6.043478260869565,5,16,1,4.447551948711103,139,0.2627599243856333,0.6956521739130435,3,2,3.257500413502068,0.5217391304347826,0.4492753623188406,0.7826086956521738,3,3,11,0.4782608695652174,0.36363636363636365,14,0.2899305555555555,0.9583333333333334,False,False,False,False,False,False
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,proxy_fallback_policy,0,22,11.5,0.0,0.9565217391304348,6.608695652173913,6,15,1,4.508341355414164,152,0.28733459357277885,0.6521739130434783,3,5,3.555533151426996,0.5217391304347826,0.4492753623188406,0.6811594202898551,2,4,12,0.5217391304347826,0.36363636363636365,14,0.22743055555555555,0.9583333333333334,False,False,False,False,False,False
40,N40_A01_raster_left_to_right,raster,engineering_baseline,0,39,19.5,0.0,1.0,1.0,1,1,1,0.0,39,0.02564102564102564,0.02564102564102564,39,0,-0.0,0.5128205128205129,0.7692307692307693,0.7692307692307693,10,0,39,1.0,1.0,0,0.4875,0.975,True,False,False,False,False,False
40,N40_A02_odd_even_interlaced,odd_even,engineering_baseline,0,39,19.5,0.0,1.0,2.8974358974358974,2,37,2,5.532166412920876,113,0.07429322813938198,0.9487179487179487,0,1,0.17203694935311378,0.5128205128205129,0.5384615384615385,0.5384615384615385,5,5,1,0.02564102564102564,0.9473684210526315,2,0.26187499999999997,0.975,False,False,False,True,False,False
40,N40_A03_greedy_maximin_distance,maximin,engineering_baseline,0,38,19.5,0.0,0.9743589743589743,6.461538461538462,2,39,1,9.309069616256803,252,0.16568047337278108,1.0,7,5,2.46340590063225,0.5128205128205129,0.6,0.5794871794871794,6,4,16,0.41025641025641024,0.7894736842105263,8,0.14125000000000001,0.975,False,False,False,False,False,False
40,N40_A04_method_c_u2_first_engineering,method_c,engineering_baseline,0,39,19.5,0.0,1.0,2.8974358974358974,2,20,2,3.861678071504944,113,0.07429322813938198,0.5128205128205128,0,1,0.34310030788093704,0.5128205128205129,0.5384615384615385,0.5384615384615385,5,5,1,0.02564102564102564,0.9473684210526315,2,0.26187499999999997,0.975,False,False,False,False,False,False
40,N40_A05_center_out,center_out,engineering_baseline,19,39,19.5,0.48717948717948717,1.0,20.0,20,39,1,11.254628677422755,780,0.5128205128205128,1.0,1,20,5.285402218862247,0.5128205128205129,0.12820512820512822,0.8974358974358975,0,10,20,0.5128205128205128,0.0,38,0.25,0.5,False,True,False,False,False,False
40,N40_A06_edge_in_alternating,edge_in,engineering_baseline,0,20,19.5,0.0,0.5128205128205128,20.0,20,39,1,11.254628677422755,780,0.5128205128205128,1.0,1,20,5.285402218862247,0.5128205128205129,0.8974358974358975,0.12820512820512822,10,0,20,0.5128205128205128,0.0,38,0.4875,0.975,False,False,True,False,False,False
40,N40_A07_regular_jump_coprime,regular_jump,engineering_baseline,0,27,19.5,0.0,0.6923076923076923,17.307692307692307,13,27,13,6.461538461538462,675,0.4437869822485207,0.6923076923076923,0,12,0.8904916402194913,0.5128205128205129,0.5846153846153845,0.5230769230769231,4,6,39,1.0,0.3684210526315789,24,0.195,0.975,False,False,False,False,True,False
40,N40_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0,39,19.5,0.0,1.0,14.384615384615385,10,29,10,8.00517584046012,561,0.368836291913215,0.7435897435897436,0,9,0.7793498372920852,0.5128205128205129,0.5384615384615385,0.5384615384615385,5,5,9,0.23076923076923078,0.5263157894736842,18,0.166875,0.975,False,False,False,False,False,True
40,N40_A09_center_edge_alternating,center_edge,engineering_baseline,19,30,19.5,0.48717948717948717,0.7692307692307693,15.102564102564102,19,21,1,6.667159745079135,589,0.38724523339907957,0.5384615384615384,2,19,3.189284117276238,0.5128205128205129,0.5128205128205128,0.5128205128205129,5,5,29,0.7435897435897436,0.5,19,0.25625,0.5,False,False,False,False,False,False
