N_label,scope,strategy_id,U2,PEEQ,SurfaceT,Mises,include_in_u2_panel,include_in_peeq_panel,include_in_surfacet_panel,include_in_mises_panel,stress_semantics_note
N16,native_stage3_combined552,S3R24L64_N16_B03_model_disagreement,7.121505268514738e-05,0.1496467143297195,581.315072,579.948224,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R24L64_N16_B04_uncertainty_calibration,4.950354787069955e-05,0.1512989699840545,584.900928,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R24L64_N16_B05_diversity_coverage,8.254494787252042e-05,0.1568326950073242,583.419776,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R24L64_N16_B06_tradeoff_probe,0.000173900736172,0.1697699576616287,582.73312,579.947136,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R24L64_N16_B07_sentinel_control,0.0001609579915111,0.157854363322258,581.490432,579.947904,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R24L64_N16_B08_exploitation_reference,4.2947722249664366e-05,0.1522741019725799,581.874176,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R34N32INF_N16_B01_graph_pointer,5.834493731526891e-05,0.1720538139343261,581.96992,579.94848,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R34N32INF_N16_B02_surrogate_top,9.155312864095322e-05,0.1565309762954712,582.068416,579.947136,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R34N32INF_N16_B03_hybrid_agree,8.978642154033878e-05,0.1544402092695236,583.986816,579.947264,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R34N32INF_N16_B04_hybrid_disagree,9.529680437481149e-05,0.1514548659324646,581.461312,579.94816,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B01_n16_diversity,0.0001097982292321,0.1503731906414032,582.193408,579.948096,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B02_n16_penalty,4.95423319080146e-05,0.1477783918380737,581.52416,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B03_n16_anchor_local,4.0733349123911466e-05,0.1522163301706314,581.438784,579.948416,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B04_n16_anchor_local,4.630857847587322e-05,0.1499058455228805,581.288448,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B05_n16_anchor_local,4.535047560239036e-05,0.155251070857048,581.44384,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B06_n16_anchor_top,3.5666283110913355e-05,0.152036964893341,581.560832,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B07_n16_anchor_top,5.006112223782111e-05,0.1521210968494415,582.24032,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B08_n16_anchor_top,4.59382431472477e-05,0.1480086147785186,581.497536,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B09_n16_anchor_top,4.151515349803958e-05,0.1512656509876251,581.532864,579.94752,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B10_n16_u2_safe,3.850526627502404e-05,0.1514567881822586,581.4736,579.94752,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B11_n16_u2_safe,4.810629525309196e-05,0.1519916504621505,582.392896,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R64VNR_N16_B12_n16_uncertainty,3.8775639040977694e-05,0.1497028917074203,581.026496,579.94752,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B01_n16_run66_local,4.112158649149933e-05,0.1500573009252548,581.035776,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B02_n16_run66_local,3.836012751889939e-05,0.1496169120073318,580.987648,579.947584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B03_n16_run66_local,3.600601939979242e-05,0.1519828289747238,580.995072,579.94752,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B04_n16_diversity,3.5760519494942855e-05,0.151949256658554,581.025536,579.948416,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B05_n16_penalty,4.457548811842571e-05,0.1477939337491989,580.909184,579.947584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B06_n16_penalty,4.097092369192978e-05,0.152086853981018,580.944192,579.947584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B07_n16_reward_bal,4.880316419075825e-05,0.1498794257640838,581.036736,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B08_n16_reward_bal,4.283226871848456e-05,0.1502377092838287,580.89344,579.947584,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B09_n16_recovery_top,3.467050373728853e-05,0.1563535183668136,581.031872,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B10_n16_recovery_top,4.1541328755556606e-05,0.1533360928297042,581.90656,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B11_n16_recovery_top,4.920626224702573e-05,0.1488713473081588,581.38496,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B12_n16_recovery_top,4.297713803680381e-05,0.1483918279409408,581.084032,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B13_n16_u2_safe,4.4194025122124e-05,0.1527805924415588,581.709952,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B14_n16_u2_safe,3.8387926906580105e-05,0.1514498889446258,581.611584,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B15_n16_u2_safe,3.8903703170944937e-05,0.148825317621231,581.538432,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R69SNR_N16_B16_n16_uncertainty,4.192923461232567e-05,0.1472253948450088,581.024192,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R74FSD_N16_B01_n16_penalty,3.502699360069528e-05,0.1457871496677398,580.903872,579.948416,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R74FSD_N16_B02_n16_penalty,5.006714764022036e-05,0.150148332118988,581.10368,579.947456,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R74FSD_N16_B03_n16_reward_bal,3.4737099667836446e-05,0.1495949774980545,580.88704,579.948672,true,true,true,true,native Stage 3 MPa-scale stress definitions
