regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.8260873033421795,1.6,5.2,0.8038998950029492,0.7982265108865613,0.8819885377880134
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8399033829869959,1.6,5.2,0.8175857307969533,0.7827198912317593,0.8795532167574796
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,Ridge,0.8155369725062742,1.4,4.8,0.7654805696181478,0.7879909175282107,0.8588907947398513
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,RandomForestRegressor,0.7981965936906074,1.0,4.6,0.8233971182435008,0.7879790702984345,0.8561463693539165
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.8138615748609258,0.8,4.6,0.8343212183946828,0.7980326061010866,0.899121386124533
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,Ridge,0.8074084299272061,1.4,5.2,0.7649088034322963,0.7670284663856013,0.8767295597484277
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,RandomForestRegressor,0.8041626703413426,0.8,4.6,0.8175875280220921,0.7913678566305137,0.8637697732037355
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.8090978724916746,0.8,4.8,0.8296327356706995,0.7918019725073987,0.8999047074518772
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.7375533128767285,1.0,4.4,0.6800411749619495,0.7525238965453686,0.8065340095439862
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8266806806921224,1.6,5.6,0.8050054360559468,0.8031151643162117,0.8789600193689742
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8383552376668983,1.2,5.0,0.8063778318458747,0.8071080297361781,0.8905323831247712
plus_N32_balanced,target_u2_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.4,1.4,nan,nan,nan
plus_N32_balanced,target_u2_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.7762042737254262,1.4,4.2,0.7102012855227331,0.805781154340673,0.8529277274442099
plus_N32_balanced,target_u2_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.8361422729494453,1.2,4.8,0.7987191269067259,0.8541381934223099,0.9112326863797692
plus_N32_balanced,target_u2_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.4,1.4,nan,nan,nan
plus_N32_balanced,target_u2_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,0.7726841047363502,1.6,4.6,0.7133272385776371,0.8015515773064266,0.8510979012657294
plus_N32_balanced,target_u2_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.8330022590168216,1.0,4.4,0.7827843906024584,0.8553665189353645,0.9025408463389966
plus_N32_balanced,target_peeq_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.0,1.2,nan,nan,nan
plus_N32_balanced,target_peeq_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.4716277676993311,1.0,3.6,0.5308783200316468,0.22393508396893408,0.4830359897401262
plus_N32_balanced,target_peeq_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.562976422199847,1.2,3.4,0.5654925319079024,0.1555472863509099,0.5459847941401103
plus_N32_balanced,target_peeq_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.0,1.2,nan,nan,nan
plus_N32_balanced,target_peeq_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,0.4770596994122287,0.8,3.6,0.50457456871599,0.21527983073262627,0.5059088169711321
plus_N32_balanced,target_peeq_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.5713900579451449,1.4,4.2,0.5927111963127994,0.12328615404203344,0.6352667650852393
plus_N32_balanced,target_surfaceT_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.2,2.0,nan,nan,nan
plus_N32_balanced,target_surfaceT_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.07827019576454373,0.6,3.0,-0.014562366670407086,0.09480771706304049,0.3325709079388257
plus_N32_balanced,target_surfaceT_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.2828802351959582,1.4,3.8,0.4385483407758197,0.007352318475487949,0.45456798529023
plus_N32_balanced,target_surfaceT_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.2,2.0,nan,nan,nan
plus_N32_balanced,target_surfaceT_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,-0.019444633239522627,0.6,3.0,-0.029887160915181038,0.05853789706801939,0.3510149639498856
plus_N32_balanced,target_surfaceT_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.3132556955743696,1.4,3.8,0.4037054006272541,0.03428993151391762,0.44419877261001006
plus_N32_balanced,target_mises_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.6,3.4,nan,nan,nan
plus_N32_balanced,target_mises_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.3325174403817984,1.6,3.6,0.5590933128449179,0.019311341545273676,-0.09288173628690354
plus_N32_balanced,target_mises_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.2334376948805931,1.0,3.0,0.44511382913946795,-0.05244332755447332,-0.48650793161332073
plus_N32_balanced,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.6,3.4,nan,nan,nan
plus_N32_balanced,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,0.44347268486084923,1.4,4.4,0.5449560256222923,0.02358752512571792,0.5134545130057817
plus_N32_balanced,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.3057675616266888,1.4,3.6,0.5053409714537427,-0.044106067017114434,-0.19001920037162492
